filename,transcription,confidence,speaker
conversation_example/conversation.wav,skip,0.99,0
conversation_example/conversation.wav,diarization,0.99,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,if,0.99,0
conversation_example/conversation.wav,you,0.99,0
conversation_example/conversation.wav,would,0.99,0
conversation_example/conversation.wav,not,0.99,0
conversation_example/conversation.wav,like,0.99,0
conversation_example/conversation.wav,your,0.99,0
conversation_example/conversation.wav,transcription,0.99,0
conversation_example/conversation.wav,separated,0.99,0
conversation_example/conversation.wav,by,0.99,0
conversation_example/conversation.wav,speaker,0.99,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,enter,0.97,0
conversation_example/conversation.wav,true,0.98,0
conversation_example/conversation.wav,otherwise,0.99,0
conversation_example/conversation.wav,and,0.35,0
conversation_example/conversation.wav,or,0.71,0
conversation_example/conversation.wav,false,0.99,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,if,0.99,1
conversation_example/conversation.wav,you'd,0.99,1
conversation_example/conversation.wav,like,0.98,1
conversation_example/conversation.wav,the,0.99,1
conversation_example/conversation.wav,transcription,0.99,1
conversation_example/conversation.wav,to,0.99,1
conversation_example/conversation.wav,exclude,0.99,1
conversation_example/conversation.wav,punctuation,0.99,1
conversation_example/conversation.wav,",",/,1
conversation_example/conversation.wav,enter,0.97,1
conversation_example/conversation.wav,true,0.97,1
conversation_example/conversation.wav,otherwise,0.99,1
conversation_example/conversation.wav,false,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,if,0.99,0
conversation_example/conversation.wav,you,0.99,0
conversation_example/conversation.wav,would,0.99,0
conversation_example/conversation.wav,like,0.99,0
conversation_example/conversation.wav,your,0.99,0
conversation_example/conversation.wav,transcription,0.99,0
conversation_example/conversation.wav,to,0.99,0
conversation_example/conversation.wav,exclude,0.99,0
conversation_example/conversation.wav,disfluencies,0.97,0
conversation_example/conversation.wav,such,0.99,0
conversation_example/conversation.wav,as,0.99,0
conversation_example/conversation.wav,uh,0.9,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,enter,0.99,0
conversation_example/conversation.wav,true,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,otherwise,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,enter,0.93,0
conversation_example/conversation.wav,false,0.98,0
conversation_example/conversation.wav,for,0.94,1
conversation_example/conversation.wav,the,0.92,1
conversation_example/conversation.wav,speaker,0.99,1
conversation_example/conversation.wav,channels,0.95,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,count,0.97,1
conversation_example/conversation.wav,set,0.73,1
conversation_example/conversation.wav,to,0.69,1
conversation_example/conversation.wav,now,0.59,1
conversation_example/conversation.wav,if,0.99,1
conversation_example/conversation.wav,you,0.99,1
conversation_example/conversation.wav,have,0.99,1
conversation_example/conversation.wav,multiple,0.99,1
conversation_example/conversation.wav,speakers,0.99,1
conversation_example/conversation.wav,.,/,1
conversation_example/conversation.wav,otherwise,0.99,1
conversation_example/conversation.wav,",",/,1
conversation_example/conversation.wav,what,0.55,1
conversation_example/conversation.wav,language,0.99,0
conversation_example/conversation.wav,?,/,0
conversation_example/conversation.wav,english,0.99,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,en,0.95,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,spanish,0.99,0
conversation_example/conversation.wav,es,0.94,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,mandarin,0.99,0
conversation_example/conversation.wav,chinese,0.91,0
conversation_example/conversation.wav,simplified,0.99,0
conversation_example/conversation.wav,cmn,0.98,0
conversation_example/conversation.wav,french,0.99,0
conversation_example/conversation.wav,fr,0.76,0
conversation_example/conversation.wav,.,/,0
conversation_example/conversation.wav,for,0.99,0
conversation_example/conversation.wav,a,0.99,0
conversation_example/conversation.wav,full,0.99,0
conversation_example/conversation.wav,list,0.99,0
conversation_example/conversation.wav,of,0.99,0
conversation_example/conversation.wav,languages,0.99,0
conversation_example/conversation.wav,available,0.99,0
conversation_example/conversation.wav,for,0.99,0
conversation_example/conversation.wav,transcription,0.86,0
conversation_example/conversation.wav,",",/,0
conversation_example/conversation.wav,click,0.93,0
conversation_example/conversation.wav,the,0.91,0
conversation_example/conversation.wav,link,0.95,0
conversation_example/conversation.wav,.,/,0
